MC161_DMSO_10uM,,"MC71"/5:MC71,,"Focused Graph"-0.002:MC61_DMSO_10uM,,"Focused Graph"-0.0025:MC169_DMSO_10uM1,,"MC67_DMSO_10uM"+0.001:MC67_DMSO_10uM,,"MC147_DMSO_10uM"+0.0017:MC147_DMSO_10uM,,"MC152_DMSO_10uM"-0.0011:MC152_DMSO_10uM,,"MC155_DMSO_10uM"-0.0015:MC155_DMSO_10uM,,MC71_DMSO_10uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
721.0083618,0.0003654047032,621.0076904,0.0004092672316,721.0083618,-0.0007037691539,721.0083618,3.171293065E-005,721.0083618,0.0005960045382,721.0083618,0.0001158757368,721.0083618,0.0001295362599,721.0083618,-0.0007733427919,720.9890137,0.0009884666651,
720.0100708,0.001180423889,620.0142822,0.0003993430582,720.0100708,-0.0003563965438,720.0100708,0.0002696288284,720.0100708,0.0005980734713,720.0100708,0.0005740751512,720.0100708,0.0003128479002,720.0100708,-0.0008141795406,719.9907837,0.001144865062,
719.0114746,0.001035922556,618.9838257,0.0004038837214,719.0114746,-0.001101682894,719.0114746,-0.0002363366075,719.0114746,-1.28748361E-005,719.0114746,0.0009725925629,719.0114746,0.0003536752192,719.0114746,-0.0007494093734,718.9921265,0.0005834991462,
718.0125122,0.0008395940531,617.9898682,0.0003901637101,718.0125122,-0.0009649856947,718.0125122,6.728130393E-005,718.0125122,-0.00027508114,718.0125122,0.0006045425544,718.0125122,0.0007263623411,718.0125122,-0.001146486844,717.9931641,0.000902701111,
717.0132446,0.001159269945,616.9956055,0.0003721562389,717.0132446,-0.0007506824331,717.0132446,-0.0002996677067,717.0132446,0.0001516658231,717.0132446,0.0006131151458,717.0132446,0.0005185035989,717.0132446,-0.00132564886,716.9938965,0.0006830462953,
716.0136108,0.00105774519,616.0012207,0.0003457887506,716.0136108,-0.000475595356,716.0136108,-0.000256450614,716.0136108,0.0001019612537,716.0136108,0.0007115053013,716.0136108,0.0007384502096,716.0136108,-0.0005709173274,715.9943237,0.0009027270135,
715.0136719,0.0008622886962,615.0064697,0.0003968310193,715.0136719,-0.0005314941518,715.0136719,-0.000177472597,715.0136719,-0.0001853560098,715.0136719,0.0007346469793,715.0136719,0.0005235442659,715.0136719,-0.0004680474522,714.9943848,0.0004880434135,
714.0133667,0.0007806454087,614.0113525,0.0004429128021,714.0133667,-0.0005946574965,714.0133667,-0.0002943861764,714.0133667,0.0004635083606,714.0133667,0.0001723632449,714.0133667,0.0005296503659,714.0133667,-0.0006633367157,713.9940796,0.0003563111532,
713.0127563,0.0002888021991,613.0161133,0.0003938301525,713.0127563,-0.0006124464562,713.0127563,-0.0004298135173,713.0127563,0.0006723555271,713.0127563,-2.121145371E-005,713.0127563,0.0004430307308,713.0127563,-0.001140372711,712.9934692,0.0007336841081,
712.0117188,0.0004574128834,611.9837036,0.0003983860952,712.0117188,-0.0006658351049,712.0117188,-0.0005204477347,712.0117188,-7.71243358E-005,712.0117188,-3.054493573E-005,712.0117188,-0.0003569551627,712.0117188,-0.001728875213,711.9924927,0.0004626214795,
711.010437,0.0008841804811,610.987793,0.0003757543163,711.010437,-0.0004904798698,711.010437,-0.0001394746359,711.010437,-5.569169298E-005,711.010437,0.0003740243847,711.010437,0.0008249988314,711.010437,-0.0008238501614,710.9911499,0.0006078912411,
710.0087891,0.0007908889093,609.9916992,0.0004027498362,710.0087891,-0.0008245338686,710.0087891,9.5639145E-005,710.0087891,0.0005150125944,710.0087891,-0.000153976609,710.0087891,0.001081860159,710.0087891,-0.0008619860746,709.989563,0.0008961124113,
709.0067749,0.001083305804,608.9953003,0.0003918799048,709.0067749,3.697327338E-005,709.0067749,-0.0002174447291,709.0067749,0.000482433883,709.0067749,0.0004782973556,709.0067749,0.0005398099311,709.0067749,-0.0006144447834,708.9876099,0.0008638449945,
708.0044556,0.0005960190319,607.9987183,0.0004105624685,708.0044556,-0.0005652325926,708.0044556,-0.0003151737619,708.0044556,-3.684032708E-005,708.0044556,-0.0001559355296,708.0044556,0.000712793204,708.0044556,-0.0009310940513,707.9852905,0.0001247364999,
